"gene","cell","garp_score","p_value"
"GAPDH","TOV-3133G","-0.05687196","0.702"
"GAPDH","AsPC-1","-0.02979457","0.894"
"GAPDH","BxPC-3","-0.3195445","0.38"
"GAPDH","CFPAC-1","-0.2270944","0.061"
"GAPDH","Capan-2","-0.03249573","0.743"
"GAPDH","HPAC","-0.05226233","0.649"
"GAPDH","HPAF-II","-0.2456028","0.268"
"GAPDH","HPDE","-0.4439297","0.883"
"GAPDH","Hs 766T","-0.8389966","0.31"
"GAPDH","IMIM-PC-1","-0.1385607","0.373"
"GAPDH","IMIM-PC-2","-0.1557554","0.169"
"GAPDH","KP-3","-0.07627991","0.804"
"GAPDH","KP-4","-0.0192473","0.911"
"GAPDH","MIA PaCa-2","-0.1536321","0.177"
"GAPDH","PANC-1","-0.1648935","0.32"
"GAPDH","PL45","-0.2118126","0.412"
"GAPDH","PaTu_8988S","-0.1355969","0.254"
"GAPDH","PaTu_8988T","-0.2277202","0.096"
"GAPDH","Panc 02.03","-0.5224661","0.062"
"GAPDH","Panc 03.27","-0.115469","0.463"
"GAPDH","Panc 04.03","-0.1543715","0.572"
"GAPDH","Panc 05.04","-0.2028669","0.716"
"GAPDH","Panc 08.13","-0.219809","0.163"
"GAPDH","Panc 10.05","-0.2021062","0.294"
"GAPDH","RWP-1","-0.01207677","0.862"
"GAPDH","SK-PC-1","-0.2486986","0.188"
"GAPDH","SK-PC-3","-0.3989084","0.474"
"GAPDH","SU.86.86","-0.1957564","0.171"
"GAPDH","SW1990","-0.2481242","0.249"
"HRK","BT-20","-0.3224729","0.283"
"HRK","BT-474","-0.2084282","0.451"
"HRK","BT-549","-0.08810955","0.901"
"HRK","CAL-51","-0.1211712","0.582"
"HRK","CAMA-1","-0.5743665","0.111"
"HRK","EFM-19","-0.5387035","0.007"
"HRK","HCC1143","-0.587549","0.222"
"HRK","HCC1187","-0.9310352","0.009"
"HRK","HCC1395","0.1192424","1"
"HRK","HCC1419","-0.1906579","0.439"
"HRK","HCC1428","-0.008482061","0.967"
"HRK","HCC1500","-0.2210232","0.401"
"HRK","HCC1806","-0.02260489","0.977"
"HRK","HCC1937","-0.9110199","0.007"
"HRK","HCC1954","0.2766422","1"
"HRK","HCC38","-0.2491818","0.478"
"HRK","Hs 578T","0.2714018","1"
"HRK","KPL-1","0.0204184","1"
"HRK","MCF7","-0.1440714","0.145"
"HRK","MDA-MB-157","0.1632933","1"
"HRK","MDA-MB-231","-0.0111921","0.88"
"HRK","MDA-MB-361","-0.4442067","0.11"
"HRK","MDA-MB-436","-0.9085234","0.021"
"HRK","MDA-MB-453","-0.0616473","0.297"
"HRK","MDA-MB-468","-0.3981957","0.066"
"HRK","SK-BR-3","-0.1518257","0.76"
"HRK","SW527","-0.1553904","0.413"
"HRK","T-47D","-0.2598771","0.434"
"HRK","ZR-75-1","0.1301176","1"
"HRK","609050M","-0.1392508","0.631"
"HRK","A2780","-0.03034239","0.63"
"HRK","A2780_CIS","-0.05626469","0.65"
"HRK","MM_OVCAR432_Bast_1","-1.702632","0.007"
"HRK","OV-1946","-0.2309263","0.822"
"HRK","OV-90","0.01382203","0.986"
"HRK","OVCA1369_TR","-5.054397","0.006"
"HRK","OVCA433_Bast","0.1252121","1"
"HRK","OVCA5","-0.3217701","0.208"
"HRK","OVCA8","-0.1591651","0.644"
"HRK","OVCAR-3","0.1270527","0.997"
"HRK","SK-OV-3","-0.2893491","0.053"
"HRK","TOV-1946","-0.1839566","0.796"
"HRK","TOV-2223G","0.1415391","0.998"
"HRK","TOV-3133G","-0.3312876","0.123"
"HRK","AsPC-1","-0.5200309","0.009"
"HRK","BxPC-3","-0.01982533","0.986"
"HRK","CFPAC-1","-0.2881189","0.029"
"HRK","Capan-2","0.01449709","0.962"
"HRK","HPAC","-0.1040151","0.343"
"HRK","HPAF-II","0.03102487","1"
"HRK","HPDE","6.353745","1"
"HRK","Hs 766T","-0.4397343","0.814"
"HRK","IMIM-PC-1","0.02999555","1"
"HRK","IMIM-PC-2","-0.1614345","0.16"
"HRK","KP-3","0.2354264","1"
"HRK","KP-4","0.008837139","0.995"
"HRK","MIA PaCa-2","-0.02050027","0.884"
"HRK","PANC-1","-0.006898033","0.985"
"HRK","PL45","0.1584412","1"
"HRK","PaTu_8988S","0.01224165","0.982"
"HRK","PaTu_8988T","0.1244332","1"
"HRK","Panc 02.03","0.1688967","1"
"HRK","Panc 03.27","-0.1399823","0.365"
"HRK","Panc 04.03","-0.2403746","0.313"
"HRK","Panc 05.04","-0.1476443","0.829"
"HRK","Panc 08.13","0.07176017","1"
"HRK","Panc 10.05","0.04198258","0.99"
"HRK","RWP-1","0.03772433","0.972"
"HRK","SK-PC-1","0.07651873","1"
"HRK","SK-PC-3","0.143751","1"
"HRK","SU.86.86","0.004965972","0.868"
"HRK","SW1990","-0.4355844","0.028"
"HTRA2","BT-20","-0.09037159","0.785"
"HTRA2","BT-474","-0.05533497","0.869"
"HTRA2","BT-549","-0.1893057","0.676"
"HTRA2","CAL-51","-0.1120894","0.63"
"HTRA2","CAMA-1","-0.3923478","0.312"
"HTRA2","EFM-19","-0.07690528","0.692"
"HTRA2","HCC1143","-0.5818498","0.227"
"HTRA2","HCC1187","-0.2403458","0.559"
"HTRA2","HCC1395","-0.3845678","0.308"
"HTRA2","HCC1419","-0.4853207","0.059"
"HTRA2","HCC1428","-0.05457515","0.938"
"HTRA2","HCC1500","-0.1620982","0.542"
"HTRA2","HCC1806","-0.8063886","0.116"
"HTRA2","HCC1937","0.00145461","0.888"
"HTRA2","HCC1954","-0.1929559","0.381"
"HTRA2","HCC38","-0.3021115","0.378"
"HTRA2","Hs 578T","-0.07395922","0.496"
"HTRA2","KPL-1","-0.08921248","0.505"
"HTRA2","MCF7","-0.02129626","0.753"
"HTRA2","MDA-MB-157","-0.2040182","0.374"
"HTRA2","MDA-MB-231","-0.3968546","0.163"
"HTRA2","MDA-MB-361","-0.3712751","0.179"
"HTRA2","MDA-MB-436","-0.4692809","0.175"
"HTRA2","MDA-MB-453","-0.2115846","0.059"
"HTRA2","MDA-MB-468","0.000960483","0.947"
"HTRA2","SK-BR-3","-0.2041534","0.661"
"HTRA2","SW527","-0.1932307","0.302"
"HTRA2","T-47D","-0.3714423","0.218"
"HTRA2","ZR-75-1","-0.1236789","0.828"
"HTRA2","609050M","-0.3725378","0.15"
"HTRA2","A2780","-0.02114383","0.671"
"HTRA2","A2780_CIS","-0.08076549","0.546"
"HTRA2","MM_OVCAR432_Bast_1","-0.7490329","0.342"
"HTRA2","OV-1946","-0.5024967","0.423"
"HTRA2","OV-90","-0.15907","0.478"
"HTRA2","OVCA1369_TR","-1.495972","0.302"
"HTRA2","OVCA433_Bast","-0.5939111","0.526"
"HTRA2","OVCA5","-0.137129","0.587"
"HTRA2","OVCA8","-0.0819931","0.829"
"HTRA2","OVCAR-3","-0.6796789","0.305"
"HTRA2","SK-OV-3","-0.0320131","0.727"
"HTRA2","TOV-1946","-0.2987971","0.596"
"HTRA2","TOV-2223G","-0.3947313","0.187"
"HTRA2","TOV-3133G","0.1018064","1"
"HTRA2","AsPC-1","-0.1784077","0.385"
"HTRA2","BxPC-3","-0.2395816","0.524"
"HTRA2","CFPAC-1","-0.07173937","0.53"
"HTRA2","Capan-2","-0.05368089","0.614"
"HTRA2","HPAC","-0.1077268","0.333"
"HTRA2","HPAF-II","-0.2203903","0.33"
"HTRA2","HPDE","-1.117959","0.717"
"HTRA2","Hs 766T","-0.5182465","0.716"
"HTRA2","IMIM-PC-1","-0.1699822","0.242"
"HTRA2","IMIM-PC-2","-0.03966635","0.751"
"HTRA2","KP-3","-0.1392842","0.579"
"HTRA2","KP-4","-0.1194552","0.308"
"HTRA2","MIA PaCa-2","-0.114506","0.302"
"HTRA2","PANC-1","-0.2600516","0.084"
"HTRA2","PL45","-0.1974092","0.462"
"HTRA2","PaTu_8988S","-0.0636011","0.557"
"HTRA2","PaTu_8988T","-0.1016549","0.487"
"HTRA2","Panc 02.03","-0.2885109","0.361"
"HTRA2","Panc 03.27","-0.07843544","0.622"
"HTRA2","Panc 04.03","-0.2056303","0.412"
"HTRA2","Panc 05.04","-0.1587521","0.803"
"HTRA2","Panc 08.13","-0.1106154","0.504"
"HTRA2","Panc 10.05","-0.1443601","0.461"
"HTRA2","RWP-1","-0.1476038","0.44"
"HTRA2","SK-PC-1","-0.1864842","0.331"
"HTRA2","SK-PC-3","-0.4065233","0.461"
"HTRA2","SU.86.86","-0.1793117","0.199"
"HTRA2","SW1990","-0.1595142","0.539"
"MALT1","BT-20","-0.001478314","0.957"
"MALT1","BT-474","-0.02956276","0.931"
"MALT1","BT-549","-0.07144349","0.93"
"MALT1","CAL-51","-0.04257708","0.962"
"MALT1","CAMA-1","-0.08474444","0.956"
"MALT1","EFM-19","-0.02470764","0.873"
"MALT1","HCC1143","-0.2511815","0.653"
"MALT1","HCC1187","-0.05914966","0.96"
"MALT1","HCC1395","-0.05417758","0.94"
"MALT1","HCC1419","-0.06530136","0.843"
"MALT1","HCC1428","-0.1636208","0.81"
"MALT1","HCC1500","-0.04140038","0.903"
"MALT1","HCC1806","-0.02104813","0.977"
"MALT1","HCC1937","-0.002724553","0.878"
"MALT1","HCC1954","-0.04225125","0.884"
"MALT1","HCC38","-0.04037441","0.939"
"MALT1","Hs 578T","-0.007009454","0.862"
"MALT1","KPL-1","-0.02169269","0.963"
"MALT1","MCF7","0.02512177","0.972"
"MALT1","MDA-MB-157","-0.0190879","0.939"
"MALT1","MDA-MB-231","-0.009787757","0.882"
"MALT1","MDA-MB-361","-0.03533022","0.917"
"MALT1","MDA-MB-436","-0.05211066","0.996"
"MALT1","MDA-MB-453","0.001533925","0.71"
"MALT1","MDA-MB-468","-0.006785341","0.932"
"MALT1","SK-BR-3","-0.02319295","0.971"
"MALT1","SW527","0.00399325","0.967"
"MALT1","T-47D","-0.03807037","0.944"
"MALT1","ZR-75-1","-0.1919872","0.65"
"MALT1","609050M","-0.05424625","0.912"
"MALT1","A2780","0.04033955","0.905"
"MALT1","A2780_CIS","0.04146829","0.987"
"MALT1","MM_OVCAR432_Bast_1","-0.3773347","0.728"
"MALT1","OV-1946","-0.304805","0.703"
"MALT1","OV-90","0.02236476","0.987"
"MALT1","OVCA1369_TR","-0.540936","0.71"
"MALT1","OVCA433_Bast","-0.283533","0.855"
"MALT1","OVCA5","-0.01276108","0.973"
"MALT1","OVCA8","-0.01990375","0.96"
"MALT1","OVCAR-3","-0.1569605","0.812"
"MALT1","SK-OV-3","-0.03436112","0.713"
"MALT1","TOV-1946","-0.07179736","0.933"
"MALT1","TOV-2223G","-0.03760052","0.769"
"MALT1","TOV-3133G","-0.04628034","0.753"
"MALT1","AsPC-1","0.011669","0.994"
"MALT1","BxPC-3","-0.04860977","0.954"
"MALT1","CFPAC-1","0.007598564","0.981"
"MALT1","Capan-2","0.01737222","0.967"
"MALT1","HPAC","-0.002761987","0.955"
"MALT1","HPAF-II","-0.0745827","0.816"
"MALT1","HPDE","-1.257303","0.678"
"MALT1","Hs 766T","-0.2869042","0.954"
"MALT1","IMIM-PC-1","-0.0513356","0.91"
"MALT1","IMIM-PC-2","-0.03028519","0.81"
"MALT1","KP-3","-0.06225418","0.855"
"MALT1","KP-4","-0.017947","0.913"
"MALT1","MIA PaCa-2","-0.0136838","0.927"
"MALT1","PANC-1","-0.007576232","0.985"
"MALT1","PL45","-0.06682372","0.884"
"MALT1","PaTu_8988S","0.0006045947","0.945"
"MALT1","PaTu_8988T","-0.0474514","0.863"
"MALT1","Panc 02.03","-0.1202962","0.882"
"MALT1","Panc 03.27","-0.06721887","0.681"
"MALT1","Panc 04.03","-0.04767457","0.91"
"MALT1","Panc 05.04","-0.1788991","0.753"
"MALT1","Panc 08.13","-0.06981116","0.704"
"MALT1","Panc 10.05","-0.01338896","0.903"
"MALT1","RWP-1","-0.06971899","0.666"
"MALT1","SK-PC-1","-0.07697806","0.768"
"MALT1","SK-PC-3","-0.1343729","0.948"
"MALT1","SU.86.86","-0.01435837","0.796"
"MALT1","SW1990","-0.04678669","0.93"
"MAPK8","BT-20","-0.3640786","0.226"
"MAPK8","BT-474","-0.2671461","0.324"
"MAPK8","BT-549","-0.6226982","0.09"
"MAPK8","CAL-51","-0.3227777","0.07"
"MAPK8","CAMA-1","-0.5999003","0.095"
"MAPK8","EFM-19","-0.1079824","0.586"
"MAPK8","HCC1143","-0.6651416","0.166"
"MAPK8","HCC1187","-0.4392853","0.208"
"MAPK8","HCC1395","-0.460095","0.213"
"MAPK8","HCC1419","-0.3053139","0.217"
"MAPK8","HCC1428","-0.3808579","0.538"
"MAPK8","HCC1500","-0.7193466","0.014"
"MAPK8","HCC1806","-1.133449","0.014"
"MAPK8","HCC1937","-0.3823688","0.11"
"MAPK8","HCC1954","-0.5149972","0.048"
"MAPK8","HCC38","-0.6186205","0.066"
"MAPK8","Hs 578T","-0.1391192","0.249"
"MAPK8","KPL-1","-0.2311934","0.068"
"MAPK8","MCF7","-0.1467559","0.145"
"MAPK8","MDA-MB-157","-0.2175216","0.34"
"MAPK8","MDA-MB-231","-0.657288","0.036"
"MAPK8","MDA-MB-361","-0.3803211","0.165"
"MAPK8","MDA-MB-436","-0.5306292","0.129"
"MAPK8","MDA-MB-453","-0.284737","0.028"
"MAPK8","MDA-MB-468","-0.1805188","0.298"
"MAPK8","SK-BR-3","-0.3601658","0.389"
"MAPK8","SW527","-0.2183285","0.231"
"MAPK8","T-47D","-0.2975785","0.345"
"MAPK8","ZR-75-1","-0.5939898","0.079"
"MAPK8","609050M","-0.1948056","0.449"
"MAPK8","A2780","-0.1899099","0.174"
"MAPK8","A2780_CIS","-0.3796589","0.042"
"MAPK8","MM_OVCAR432_Bast_1","-1.004391","0.164"
"MAPK8","OV-1946","-1.224788","0.011"
"MAPK8","OV-90","-0.3353612","0.158"
"MAPK8","OVCA1369_TR","-1.882141","0.21"
"MAPK8","OVCA433_Bast","-1.113928","0.115"
"MAPK8","OVCA5","-0.3017345","0.234"
"MAPK8","OVCA8","-0.1985152","0.559"
"MAPK8","OVCAR-3","-0.2885137","0.647"
"MAPK8","SK-OV-3","0.01203384","0.93"
"MAPK8","TOV-1946","-0.7378195","0.066"
"MAPK8","TOV-2223G","-0.5958771","0.081"
"MAPK8","TOV-3133G","-0.3143961","0.137"
"MAPK8","AsPC-1","-0.2810773","0.131"
"MAPK8","BxPC-3","-0.4493285","0.185"
"MAPK8","CFPAC-1","-0.2830204","0.031"
"MAPK8","Capan-2","-0.08743683","0.433"
"MAPK8","HPAC","-0.1527259","0.172"
"MAPK8","HPAF-II","-0.2291245","0.308"
"MAPK8","HPDE","-1.710615","0.539"
"MAPK8","Hs 766T","-0.9127075","0.234"
"MAPK8","IMIM-PC-1","-0.3404947","0.035"
"MAPK8","IMIM-PC-2","-0.1673547","0.147"
"MAPK8","KP-3","-0.4796551","0.043"
"MAPK8","KP-4","-0.2262019","0.058"
"MAPK8","MIA PaCa-2","-0.1185609","0.278"
"MAPK8","PANC-1","-0.1339803","0.424"
"MAPK8","PL45","-0.4543759","0.023"
"MAPK8","PaTu_8988S","-0.1103148","0.346"
"MAPK8","PaTu_8988T","-0.1976558","0.156"
"MAPK8","Panc 02.03","-0.3687669","0.21"
"MAPK8","Panc 03.27","-0.1824972","0.238"
"MAPK8","Panc 04.03","-0.2679553","0.238"
"MAPK8","Panc 05.04","-0.530699","0.084"
"MAPK8","Panc 08.13","-0.5185873","0.016"
"MAPK8","Panc 10.05","-0.2520132","0.198"
"MAPK8","RWP-1","-0.3215311","0.149"
"MAPK8","SK-PC-1","-0.2974737","0.111"
"MAPK8","SK-PC-3","-0.8967972","0.023"
"MAPK8","SU.86.86","-0.223754","0.119"
"MAPK8","SW1990","-0.272992","0.187"
"MCL1","BT-20","-0.6062981","0.049"
"MCL1","BT-474","-0.7855203","0.013"
"MCL1","BT-549","-0.3192105","0.412"
"MCL1","CAL-51","-0.1529515","0.441"
"MCL1","CAMA-1","-0.2514767","0.577"
"MCL1","EFM-19","-0.2519324","0.191"
"MCL1","HCC1143","-0.3753153","0.457"
"MCL1","HCC1187","-0.4190391","0.226"
"MCL1","HCC1395","-0.1437858","0.77"
"MCL1","HCC1419","-0.2515164","0.299"
"MCL1","HCC1428","-1.12442","0.076"
"MCL1","HCC1500","-0.4894623","0.067"
"MCL1","HCC1806","-0.6696341","0.215"
"MCL1","HCC1937","-0.2979263","0.194"
"MCL1","HCC1954","-0.1018496","0.678"
"MCL1","HCC38","-0.4200045","0.199"
"MCL1","Hs 578T","-0.01366235","0.838"
"MCL1","KPL-1","-0.09507124","0.447"
"MCL1","MCF7","-0.04929449","0.546"
"MCL1","MDA-MB-157","-0.2138464","0.351"
"MCL1","MDA-MB-231","-0.5980304","0.052"
"MCL1","MDA-MB-361","-0.5454983","0.068"
"MCL1","MDA-MB-436","-0.2836352","0.434"
"MCL1","MDA-MB-453","-0.02786416","0.449"
"MCL1","MDA-MB-468","-0.140051","0.396"
"MCL1","SK-BR-3","-0.7600689","0.043"
"MCL1","SW527","-0.1315664","0.476"
"MCL1","T-47D","-0.3085485","0.328"
"MCL1","ZR-75-1","-0.2087093","0.598"
"MCL1","609050M","-0.2691292","0.296"
"MCL1","A2780","-0.05056976","0.538"
"MCL1","A2780_CIS","-0.1179175","0.41"
"MCL1","MM_OVCAR432_Bast_1","-1.24086","0.066"
"MCL1","OV-1946","-0.368279","0.601"
"MCL1","OV-90","-0.2573682","0.264"
"MCL1","OVCA1369_TR","-1.342869","0.34"
"MCL1","OVCA433_Bast","-0.8188856","0.299"
"MCL1","OVCA5","-0.4650818","0.092"
"MCL1","OVCA8","-0.389892","0.222"
"MCL1","OVCAR-3","-0.1068864","0.871"
"MCL1","SK-OV-3","-0.1448709","0.235"
"MCL1","TOV-1946","-0.651553","0.12"
"MCL1","TOV-2223G","-0.7857213","0.049"
"MCL1","TOV-3133G","-0.1445311","0.396"
"MCL1","AsPC-1","-0.3500204","0.063"
"MCL1","BxPC-3","-0.1324046","0.773"
"MCL1","CFPAC-1","-0.07582232","0.505"
"MCL1","Capan-2","-0.108172","0.352"
"MCL1","HPAC","-0.07546762","0.499"
"MCL1","HPAF-II","-0.0898303","0.752"
"MCL1","HPDE","0.03333658","0.97"
"MCL1","Hs 766T","-0.9200652","0.229"
"MCL1","IMIM-PC-1","-0.07770683","0.747"
"MCL1","IMIM-PC-2","-0.05218172","0.664"
"MCL1","KP-3","-0.3953028","0.085"
"MCL1","KP-4","-0.1761806","0.132"
"MCL1","MIA PaCa-2","-0.1106962","0.319"
"MCL1","PANC-1","-0.1418142","0.39"
"MCL1","PL45","-0.1943248","0.467"
"MCL1","PaTu_8988S","-0.107966","0.352"
"MCL1","PaTu_8988T","-0.05371577","0.808"
"MCL1","Panc 02.03","-0.1350527","0.847"
"MCL1","Panc 03.27","-0.1014174","0.518"
"MCL1","Panc 04.03","-0.2022772","0.423"
"MCL1","Panc 05.04","-0.3693647","0.307"
"MCL1","Panc 08.13","-0.1584129","0.317"
"MCL1","Panc 10.05","-0.1093531","0.564"
"MCL1","RWP-1","-0.2299573","0.264"
"MCL1","SK-PC-1","-0.05231314","0.893"
"MCL1","SK-PC-3","-0.3042168","0.647"
"MCL1","SU.86.86","-0.2110692","0.141"
"MCL1","SW1990","-0.2199622","0.335"
"MOAP1","BT-20","-0.1315229","0.673"
"MOAP1","BT-474","-0.1787016","0.508"
"MOAP1","BT-549","-0.2327918","0.587"
"MOAP1","CAL-51","-0.2492224","0.155"
"MOAP1","CAMA-1","-0.4469491","0.242"
"MOAP1","EFM-19","-0.03702649","0.839"
"MOAP1","HCC1143","-0.2791621","0.596"
"MOAP1","HCC1187","-0.256965","0.519"
"MOAP1","HCC1395","-0.1963536","0.659"
"MOAP1","HCC1419","-0.1066025","0.715"
"MOAP1","HCC1428","-0.3295529","0.592"
"MOAP1","HCC1500","-0.2007569","0.446"
"MOAP1","HCC1806","-0.3350384","0.637"
"MOAP1","HCC1937","-0.03888494","0.773"
"MOAP1","HCC1954","-0.1203571","0.592"
"MOAP1","HCC38","-0.2579152","0.465"
"MOAP1","Hs 578T","-0.147066","0.23"
"MOAP1","KPL-1","-0.09333479","0.461"
"MOAP1","MCF7","-0.05134607","0.539"
"MOAP1","MDA-MB-157","-0.0709106","0.786"
"MOAP1","MDA-MB-231","-0.1186164","0.626"
"MOAP1","MDA-MB-361","-0.1365553","0.649"
"MOAP1","MDA-MB-436","-0.1998341","0.647"
"MOAP1","MDA-MB-453","-0.08565263","0.225"
"MOAP1","MDA-MB-468","-0.08300862","0.588"
"MOAP1","SK-BR-3","-0.3422985","0.421"
"MOAP1","SW527","-0.1833957","0.331"
"MOAP1","T-47D","-0.2866954","0.371"
"MOAP1","ZR-75-1","-0.2972884","0.415"
"MOAP1","609050M","-0.2656362","0.307"
"MOAP1","A2780","-0.1207031","0.297"
"MOAP1","A2780_CIS","-0.06534708","0.611"
"MOAP1","MM_OVCAR432_Bast_1","-0.5163124","0.581"
"MOAP1","OV-1946","-0.3453588","0.637"
"MOAP1","OV-90","-0.172744","0.436"
"MOAP1","OVCA1369_TR","-1.182678","0.414"
"MOAP1","OVCA433_Bast","-0.6077363","0.516"
"MOAP1","OVCA5","-0.4251383","0.111"
"MOAP1","OVCA8","-0.3029206","0.351"
"MOAP1","OVCAR-3","-0.7879333","0.231"
"MOAP1","SK-OV-3","-0.04642228","0.643"
"MOAP1","TOV-1946","-0.6048477","0.167"
"MOAP1","TOV-2223G","0.1019208","0.995"
"MOAP1","TOV-3133G","-0.05509359","0.71"
"MOAP1","AsPC-1","-0.1819962","0.368"
"MOAP1","BxPC-3","-0.3306064","0.358"
"MOAP1","CFPAC-1","-0.06761735","0.555"
"MOAP1","Capan-2","-0.03296625","0.74"
"MOAP1","HPAC","-0.1192881","0.275"
"MOAP1","HPAF-II","-0.1827561","0.438"
"MOAP1","HPDE","-2.134108","0.424"
"MOAP1","Hs 766T","-0.5882493","0.622"
"MOAP1","IMIM-PC-1","-0.02578933","0.99"
"MOAP1","IMIM-PC-2","-0.1891132","0.113"
"MOAP1","KP-3","-0.173861","0.473"
"MOAP1","KP-4","-0.1928269","0.101"
"MOAP1","MIA PaCa-2","-0.2181056","0.07"
"MOAP1","PANC-1","-0.2008172","0.199"
"MOAP1","PL45","-0.2445233","0.329"
"MOAP1","PaTu_8988S","-0.09754404","0.397"
"MOAP1","PaTu_8988T","-0.3015587","0.029"
"MOAP1","Panc 02.03","-0.4439292","0.117"
"MOAP1","Panc 03.27","-0.1141032","0.467"
"MOAP1","Panc 04.03","-0.1923914","0.456"
"MOAP1","Panc 05.04","-0.224677","0.67"
"MOAP1","Panc 08.13","-0.2579918","0.115"
"MOAP1","Panc 10.05","-0.3491637","0.082"
"MOAP1","RWP-1","-0.2715937","0.21"
"MOAP1","SK-PC-1","-0.1046875","0.641"
"MOAP1","SK-PC-3","-0.4149295","0.441"
"MOAP1","SU.86.86","-0.1908652","0.174"
"MOAP1","SW1990","-0.120538","0.688"
"MYD88","BT-20","-0.4610483","0.123"
"MYD88","BT-474","-0.1817","0.503"
"MYD88","BT-549","-0.8163216","0.034"
"MYD88","CAL-51","-0.2869078","0.106"
"MYD88","CAMA-1","-0.1424542","0.826"
"MYD88","EFM-19","0.0477998","0.989"
"MYD88","HCC1143","-0.8209339","0.089"
"MYD88","HCC1187","-0.5329138","0.133"
"MYD88","HCC1395","-0.2235858","0.596"
"MYD88","HCC1419","-0.3195487","0.194"
"MYD88","HCC1428","-0.5140955","0.409"
"MYD88","HCC1500","-0.415262","0.12"
"MYD88","HCC1806","-0.7831314","0.129"
"MYD88","HCC1937","-0.1409104","0.476"
"MYD88","HCC1954","-0.1692051","0.441"
"MYD88","HCC38","-0.1511487","0.704"
"MYD88","Hs 578T","-0.3383625","0.037"
"MYD88","KPL-1","-0.2160665","0.081"
"MYD88","MCF7","-0.06858495","0.418"
"MYD88","MDA-MB-157","-0.3728637","0.108"
"MYD88","MDA-MB-231","-0.5532109","0.067"
"MYD88","MDA-MB-361","-0.2683809","0.357"
"MYD88","MDA-MB-436","-0.5219139","0.135"
"MYD88","MDA-MB-453","-0.0518172","0.323"
"MYD88","MDA-MB-468","-0.2440916","0.198"
"MYD88","SK-BR-3","-0.8531036","0.027"
"MYD88","SW527","-0.2711357","0.121"
"MYD88","T-47D","-0.282178","0.386"
"MYD88","ZR-75-1","-0.5996631","0.076"
"MYD88","609050M","-0.6069244","0.028"
"MYD88","A2780","-0.1035088","0.345"
"MYD88","A2780_CIS","-0.1351545","0.358"
"MYD88","MM_OVCAR432_Bast_1","-0.7749673","0.317"
"MYD88","OV-1946","-0.4617887","0.47"
"MYD88","OV-90","-0.233763","0.308"
"MYD88","OVCA1369_TR","-0.6502978","0.64"
"MYD88","OVCA433_Bast","-1.569613","0.013"
"MYD88","OVCA5","-0.4259337","0.109"
"MYD88","OVCA8","-0.4533306","0.155"
"MYD88","OVCAR-3","-0.8255144","0.207"
"MYD88","SK-OV-3","-0.1282983","0.286"
"MYD88","TOV-1946","-0.3530448","0.502"
"MYD88","TOV-2223G","-0.4386649","0.15"
"MYD88","TOV-3133G","-0.07194256","0.642"
"MYD88","AsPC-1","-0.3345222","0.074"
"MYD88","BxPC-3","-0.6805687","0.05"
"MYD88","CFPAC-1","-0.08027047","0.475"
"MYD88","Capan-2","-0.007845076","0.886"
"MYD88","HPAC","-0.1340411","0.223"
"MYD88","HPAF-II","-0.2492713","0.258"
"MYD88","HPDE","-4.322002","0.096"
"MYD88","Hs 766T","-1.172423","0.061"
"MYD88","IMIM-PC-1","-0.4231361","0.015"
"MYD88","IMIM-PC-2","-0.09817205","0.381"
"MYD88","KP-3","-0.2095627","0.378"
"MYD88","KP-4","-0.2745529","0.028"
"MYD88","MIA PaCa-2","-0.1153975","0.296"
"MYD88","PANC-1","-0.1925506","0.227"
"MYD88","PL45","-0.2755657","0.257"
"MYD88","PaTu_8988S","-0.1426978","0.233"
"MYD88","PaTu_8988T","-0.1525268","0.26"
"MYD88","Panc 02.03","-0.4599643","0.106"
"MYD88","Panc 03.27","-0.0889939","0.571"
"MYD88","Panc 04.03","-0.3096129","0.158"
"MYD88","Panc 05.04","-0.4859051","0.134"
"MYD88","Panc 08.13","-0.07188424","0.692"
"MYD88","Panc 10.05","-0.178244","0.366"
"MYD88","RWP-1","-0.5224966","0.036"
"MYD88","SK-PC-1","-0.1909815","0.312"
"MYD88","SK-PC-3","-0.6311402","0.148"
"MYD88","SU.86.86","-0.2538923","0.088"
"MYD88","SW1990","-0.3504802","0.086"
"NLRP1","BT-20","-0.2679494","0.367"
"NLRP1","BT-474","-0.3880648","0.171"
"NLRP1","BT-549","-0.2140841","0.628"
"NLRP1","CAL-51","-0.1645385","0.382"
"NLRP1","CAMA-1","-0.6886504","0.061"
"NLRP1","EFM-19","-0.4335482","0.023"
"NLRP1","HCC1143","-0.6082833","0.203"
"NLRP1","HCC1187","-0.4383828","0.209"
"NLRP1","HCC1395","-0.1594406","0.743"
"NLRP1","HCC1419","-0.4737889","0.067"
"NLRP1","HCC1428","-0.88662","0.161"
"NLRP1","HCC1500","-0.3864723","0.148"
"NLRP1","HCC1806","-0.8208513","0.111"
"NLRP1","HCC1937","-0.4715721","0.063"
"NLRP1","HCC1954","-0.4332761","0.072"
"NLRP1","HCC38","-0.06405774","0.897"
"NLRP1","Hs 578T","0.00843882","0.918"
"NLRP1","KPL-1","-0.1302046","0.275"
"NLRP1","MCF7","-0.136789","0.159"
"NLRP1","MDA-MB-157","-0.1841059","0.419"
"NLRP1","MDA-MB-231","-0.3217708","0.253"
"NLRP1","MDA-MB-361","-0.5557328","0.064"
"NLRP1","MDA-MB-436","-0.4265131","0.217"
