"gene","cell","garp_score","p_value"
"BAX","MDA-MB-453","-0.03848062","0.383"
"BAX","MDA-MB-468","-0.1366223","0.409"
"BAX","SK-BR-3","-0.1824344","0.705"
"BAX","SW527","-0.09076383","0.619"
"BAX","T-47D","-0.3690406","0.222"
"BAX","ZR-75-1","-0.313216","0.387"
"BAX","609050M","-0.08026963","0.835"
"BAX","A2780","-0.1384179","0.247"
"BAX","A2780_CIS","-0.1434465","0.336"
"BAX","MM_OVCAR432_Bast_1","-1.200227","0.076"
"BAX","OV-1946","-0.501787","0.423"
"BAX","OV-90","-0.2178071","0.334"
"BAX","OVCA1369_TR","-1.378812","0.336"
"BAX","OVCA433_Bast","-0.4010529","0.73"
"BAX","OVCA5","-0.1517844","0.533"
"BAX","OVCA8","-0.2293235","0.5"
"BAX","OVCAR-3","-0.670083","0.314"
"BAX","SK-OV-3","-0.2733379","0.06"
"BAX","TOV-1946","-0.5728853","0.2"
"BAX","TOV-2223G","-0.05037385","0.737"
"BAX","TOV-3133G","-0.1309855","0.436"
"BAX","AsPC-1","-0.07624449","0.74"
"BAX","BxPC-3","-0.2096095","0.58"
"BAX","CFPAC-1","-0.251841","0.045"
"BAX","Capan-2","-0.01398316","0.844"
"BAX","HPAC","-0.04741361","0.689"
"BAX","HPAF-II","-0.184411","0.428"
"BAX","HPDE","-0.501341","0.868"
"BAX","Hs 766T","-0.8362259","0.312"
"BAX","IMIM-PC-1","-0.08934681","0.664"
"BAX","IMIM-PC-2","-0.06721185","0.556"
"BAX","KP-3","-0.06231884","0.855"
"BAX","KP-4","-0.1002102","0.411"
"BAX","MIA PaCa-2","-0.06275535","0.596"
"BAX","PANC-1","-0.09427653","0.606"
"BAX","PL45","-0.01084855","0.988"
